t,x,y,z
19740,2854.651,5864.591,-2072.421
19770,2700.062,5876.002,-2240.929
19800,2542.449,5880.835,-2406.920
19830,2381.990,5879.083,-2570.208
19860,2218.865,5870.752,-2730.612
19890,2053.256,5855.850,-2887.951
19920,1885.350,5834.396,-3042.051
19950,1715.336,5806.416,-3192.737
19980,1543.402,5771.942,-3339.842
20010,1369.743,5731.013,-3483.203
20040,1194.553,5683.677,-3622.657
20070,1018.027,5629.987,-3758.052
20100,840.363,5570.006,-3889.234
20130,661.761,5503.801,-4016.058
20160,482.419,5431.448,-4138.383
20190,302.538,5353.027,-4256.073
20220,122.320,5268.629,-4368.996
20250,-58.036,5178.348,-4477.027
20280,-238.326,5082.286,-4580.046
20310,-418.350,4980.552,-4677.939
20340,-597.908,4873.259,-4770.596
20370,-776.798,4760.529,-4857.915
20400,-954.822,4642.487,-4939.800
20430,-1131.780,4519.267,-5016.158
20460,-1307.477,4391.007,-5086.905
20490,-1481.715,4257.849,-5151.964
20520,-1654.301,4119.944,-5211.261
20550,-1825.042,3977.445,-5264.732
20580,-1993.749,3830.511,-5312.316
20610,-2160.233,3679.308,-5353.962
20640,-2324.309,3524.003,-5389.623
20670,-2485.795,3364.771,-5419.260
20700,-2644.510,3201.788,-5442.839
20730,-2800.278,3035.237,-5460.335
20760,-2952.925,2865.303,-5471.729
20790,-3102.281,2692.176,-5477.008
20820,-3248.180,2516.049,-5476.165
20850,-3390.459,2337.118,-5469.203
20880,-3528.959,2155.583,-5456.128
20910,-3663.527,1971.645,-5436.955
20940,-3794.011,1785.509,-5411.706
20970,-3920.267,1597.384,-5380.408
21000,-4042.153,1407.478,-5343.095
21030,-4159.534,1216.003,-5299.810
21060,-4272.277,1023.173,-5250.600
21090,-4380.258,829.202,-5195.520
21120,-4483.354,634.306,-5134.630
21150,-4581.451,438.703,-5067.998
21180,-4674.438,242.611,-4995.698
21210,-4762.212,46.248,-4917.810
21240,-4844.673,-150.167,-4834.421
21270,-4921.729,-346.414,-4745.622
21300,-4993.293,-542.274,-4651.513
21330,-5059.284,-737.529,-4552.198
21360,-5119.627,-931.961,-4447.788
21390,-5174.256,-1125.353,-4338.397
21420,-5223.106,-1317.487,-4224.149
21450,-5266.124,-1508.151,-4105.170
21480,-5303.259,-1697.130,-3981.593
21510,-5334.469,-1884.212,-3853.554
21540,-5359.718,-2069.190,-3721.197
21570,-5378.977,-2251.854,-3584.670
21600,-5392.223,-2432.002,-3444.124
21630,-5399.439,-2609.430,-3299.716
21660,-5400.618,-2783.940,-3151.608
21690,-5395.756,-2955.336,-2999.965
21720,-5384.858,-3123.426,-2844.956
21750,-5367.934,-3288.021,-2686.754
21780,-5345.003,-3448.936,-2525.538
21810,-5316.089,-3605.990,-2361.486
21840,-5281.223,-3759.008,-2194.783
21870,-5240.443,-3907.816,-2025.616
21900,-5193.794,-4052.247,-1854.173
